index,Date,Linea_1_R,Linea_1_S,Linea_1_T,Linea_2_R,Linea_2_S,Linea_2_T,Linea_3_R,Linea_3_S,Linea_3_T,Linea_4_R,Linea_4_S,Linea_4_T,Linea_5_R,Linea_5_S,Linea_5_T,Linea_6_R,Linea_6_S,Linea_6_T,Linea_7_R,Linea_7_S,Linea_7_T,Linea_8_R,Linea_8_S,Linea_8_T
148,2020-02-07 04:00:00,1233.3922518618472,618.9409002399672,1749.3964036184564,511.6351768753655,414.0146217192844,994.6774286345708,411.1707575147236,420.8195921334784,523.0925742438227,5043.350118265382,1996.301919288041,1590.8734318976108,1089.1687727110666,3764.5910564059673,1130.7667261270026,337.4478085571719,455.59108163965647,390.7495515808684,342.028933555654,280.1667119116535,213.99213161708897,78.65072550811003,287.59962038061127,173.673752402611
149,2020-02-07 05:00:00,1389.4114960514323,637.4224762800975,1787.573289910186,525.8345150071613,385.8182045133107,928.1762999546396,336.4013901071119,417.0269921468192,544.42241412055,5104.631909368818,545.3500859153038,1400.1761340821884,1071.9863246902355,3598.615890370289,1029.2748129545844,163.26163320823824,352.0108783380598,193.92797223389303,318.9063024918175,387.4727063261566,208.64238591224745,101.30680576695,270.71975704055274,166.69650588498382
150,2020-02-07 06:00:00,1228.844355821638,531.9697120394733,1653.633502910753,233.9592883671685,142.32773414081203,1063.75655770692,351.529767618116,695.4986863899129,507.839796240722,5287.564573070017,456.6313154735915,1424.9016210069904,1607.8132400730622,7505.6198366491935,1466.4148972097364,288.95508275445854,492.22082660106526,325.2110635825173,375.7729258933193,293.5277373211617,211.2753481009726,110.91355468535902,391.2047954019548,94.63640212961238
151,2020-02-07 07:00:00,1206.966735440382,501.5052309338256,2069.464625019269,175.17600775560084,76.79561326420955,834.2796539514865,478.623373345592,481.4987448858946,1024.139096647288,5183.349858461696,1139.8814629917692,1380.3076631492904,1507.0781242185683,7632.049908218079,1327.9397444998745,248.9531022247339,537.6854422252239,296.0838905250764,549.6203961004167,464.0745370206179,426.4248673595147,99.45198624046444,991.3214500128464,205.53381878102235
152,2020-02-07 08:00:00,1603.8382070455268,676.3805673158784,2212.905579149236,817.2315429061741,653.848849199369,1858.4397727366784,724.2219088017898,736.1955747825897,823.9110428352313,5340.340765829129,875.4310976914743,1523.808016707941,2423.594297597664,8374.919233187225,1772.7949631801966,325.5524719670196,743.954187364132,375.786899436409,448.244456099464,387.53104662314126,298.3455573693617,99.89093023847282,1904.951426144352,200.9264991742933
153,2020-02-07 09:00:00,1527.8322499905453,925.2686512150276,1703.7583166269335,1003.334400800854,501.06857231536384,2187.793368365454,461.7660725263438,1820.3242835986327,690.4422783020075,6761.375660912793,1144.5309771233285,2237.191035706648,2319.643860379151,8266.94188824797,2047.70690204073,291.42750106686634,438.44304236226697,357.5436983232077,455.9858279474777,1755.3287538440352,897.6695721650234,89.7951120369151,1273.5512551960885,717.3785815763213
154,2020-02-07 10:00:00,2101.773185479782,928.6736702099048,2895.0064238805617,897.1449954416531,391.4857572828999,4300.166697782145,2559.166329314676,1473.662940631716,496.50945882385554,9842.785525532952,1225.42308163425,2975.622664262461,1656.9041183044933,10037.79670426577,1085.7815989413762,1297.704858059593,1451.3328500937273,1424.3601649570774,1110.20971092722,3618.1450791103766,348.39898347129986,192.39147255791264,263.69270371013783,1436.624776394233
155,2020-02-07 11:00:00,3525.1607994678093,1655.464027870427,3779.612084602517,366.5616300276453,82.18751768971885,3863.053821300603,2716.0635827097167,1125.226697470326,965.9827526355834,10240.26073501199,1770.224307232578,1458.2891752916169,2030.311411519718,8391.73327236561,1703.8051385162526,732.5184482853253,782.7281447657358,762.2037708480813,2429.0489366122883,3051.6625533578444,252.2202527571472,332.1582818698661,341.1202090268941,1338.4048044382607
156,2020-02-07 12:00:00,2885.2527726765693,1413.366208960134,4657.896053290126,636.8957882106566,353.37783690221187,5103.904389736049,2734.371768945318,1802.6897910990203,1259.5651135532637,8967.134245117606,1740.7477736964422,3154.3997698401963,1271.6100248839855,9035.36148663529,1094.1989190298048,608.553136627975,645.9523599815908,562.9391679924848,2172.83189853783,1978.3909184011045,1882.202023882331,345.6328648876472,1665.602102268536,1082.5462204728544
157,2020-02-07 13:00:00,3396.192464305916,1458.3122890125403,2697.5343816738564,673.4364579522544,370.0049333595565,4712.223300880385,2910.534661350285,1513.099251966416,1423.956172636011,7713.284071170441,4554.334423529057,1799.4161667761891,1827.720235548834,9423.366862551042,1324.0829929084134,386.97785412423366,495.3186915969655,470.9616971555066,1606.1230791015385,1999.1999143828305,1953.8044644843867,207.2044995001513,1074.617908097893,196.672650700387
158,2020-02-07 14:00:00,3204.214891211637,2064.595723331223,3532.8119698344217,1106.5029032016218,470.6352003058212,4520.918491068277,2942.6568852607884,1227.5498331470546,1122.0225923949397,7808.6133452769,4611.660150504556,1910.6820468578608,2187.052995726754,7907.722268148928,1410.2416421358637,724.7886488960759,787.9739137367158,803.7186923899897,1417.4940006975849,2913.4370237332773,4064.786549148599,149.00373980345063,1702.958484642097,114.1369877748395
159,2020-02-07 15:00:00,5699.210167763177,1847.9940436985005,3108.170088020181,758.9330941986626,390.6172310979731,4677.230390285526,2836.050309629249,1607.8265865616947,2312.6938572597182,6632.993793335453,2900.263998320772,1787.5740620141446,2661.0274622454813,4967.618819615907,1663.383459299543,277.5437058041624,1034.4534649140796,323.92743958165835,2050.331982799401,1809.3375943132817,1900.400451766124,238.4792235220296,728.1221531979452,933.1478551195048
160,2020-02-07 16:00:00,4750.583180526319,1134.5358238567312,2865.347335057034,853.1875538406262,380.06363917989984,4401.266845372401,2787.979452489111,1738.2410487468194,1845.5322929628924,5906.970985219727,5233.847147621414,2560.9637871195027,3051.92407485561,5565.016050885888,2242.091951182325,273.97250886282825,725.2591639717266,329.051398275668,2977.0630126828087,2122.0733269799493,1592.5395731634114,308.8950370868506,1026.525989355318,1322.985542317728
161,2020-02-07 17:00:00,5096.5429114075305,1076.0332016396644,1947.5259377503503,759.0020265279397,294.01776448393184,3906.535656216272,2755.065852811208,1390.0628522639322,827.202306643591,7200.575631736564,5296.515412407333,2722.3444071353683,2009.602787243731,5981.604618149354,2228.6240266347686,255.20368615117872,493.8708199739967,286.0751755706412,1262.357047487333,1664.9137870451957,566.5573818039171,425.70120004733405,847.5976220368315,827.5116160133455
